Unnamed: 0,text,title,LLAMA2_title1,LLAMA2_title1_without_trim,LLAMA2_without_finetunning,LLAMA2_without_finetunning_without_trim
49,"Mandela expressed the view that ""South Africa's future foreign relations [should] be based on our belief that human rights should be the core of international relations"".[289] Following the South African example, Mandela encouraged other nations to resolve conflicts through diplomacy and reconciliation.[290] In September 1998, Mandela was appointed secretary-general of the Non-Aligned Movement, who held their annual conference in Durban. He used the event to criticise the ""narrow, chauvinistic interests"" of the Israeli government in stalling negotiations to end the Israeli–Palestinian conflict and urged India and Pakistan to negotiate to end the Kashmir conflict, for which he was criticised by both Israel and India.[291] Inspired by the region's economic boom, Mandela sought greater economic relations with East Asia, in particular with Malaysia, although this was prevented by the 1997 Asian financial crisis.[292] He extended diplomatic recognition to the People's Republic of China (PRC), who were growing as an economic force, and initially also to Taiwan, who were already longstanding investors in the South African economy. However, under pressure from the PRC, he cut recognition of Taiwan in November 1996, and he paid an official visit to Beijing in May 1999.[293]
Mandela attracted controversy for his close relationship with Indonesian president Suharto, whose regime was responsible for mass human rights abuses, although on a July 1997 visit to Indonesia he privately urged Suharto to withdraw from the occupation of East Timor.[295] He also faced similar criticism from the West for his government's trade links to Syria, Cuba and Libya[296] and for his personal friendships with Castro and Gaddafi.[297] Castro visited South Africa in 1998 to widespread popular acclaim, and Mandela met Gaddafi in Libya to award him the Order of Good Hope.[297] When Western governments and media criticised these visits, Mandela lambasted such criticism as having racist undertones,[298] and stated that ""the enemies of countries in the West are not our enemies.""[296] Mandela hoped to resolve the long-running dispute between Libya and the United States and Britain over bringing to trial the two Libyans, Abdelbaset al-Megrahi and Lamin Khalifah Fhimah, who were indicted in November 1991 and accused of sabotaging Pan Am Flight 103. Mandela proposed that they be tried in a third country, which was agreed to by all parties; governed by Scots law, the trial was held at Camp Zeist in the Netherlands in April 1999, and found one of the two men guilty.[299][300]
Mandela echoed Mbeki's calls for an ""African Renaissance"", and he was greatly concerned with issues on the continent.[301] He took a soft diplomatic approach to removing Sani Abacha's military junta in Nigeria but later became a leading figure in calling for sanctions when Abacha's regime increased human rights violations.[302] In 1996, he was appointed chairman of the Southern African Development Community (SADC) and initiated unsuccessful negotiations to end the First Congo War in Zaire.[303] He also played a key role as a mediator in the ethnic conflict between Tutsi and Hutu political groups in the Burundian Civil War, helping to initiate a settlement which brought increased stability to the country but did not end the ethnic violence.[304] In South Africa's first post-apartheid military operation, troops were ordered into Lesotho in September 1998 to protect the government of Prime Minister Pakalitha Mosisili after a disputed election had prompted opposition uprisings. The action was not authorised by Mandela himself, who was out of the country at the time, but by Buthelezi, who was serving as acting president during Mandela's absence,[305] with the approval of Mandela and Mbeki.[306]
",Foreign_affairs,,,,
50,"The new Constitution of South Africa was agreed upon by parliament in May 1996, enshrining a series of institutions to place checks on political and administrative authority within a constitutional democracy.[307] De Klerk opposed the implementation of this constitution, and that month he and the National Party withdrew from the coalition government in protest, claiming that the ANC were not treating them as equals.[308] The ANC took over the cabinet positions formerly held by the Nationals, with Mbeki becoming sole Deputy President.[309] Inkatha remained part of the coalition,[310] and when both Mandela and Mbeki were out of the country in September 1998, Buthelezi was appointed ""Acting President"", marking an improvement in his relationship with Mandela.[311] Although Mandela had often governed decisively in his first two years as president,[312] he had subsequently increasingly delegated duties to Mbeki, retaining only a close personal supervision of intelligence and security measures.[313] During a 1997 visit to London, he said that ""the ruler of South Africa, the de facto ruler, is Thabo Mbeki"" and that he was ""shifting everything to him"".[312]
Mandela stepped down as ANC President at the party's December 1997 conference. He hoped that Ramaphosa would succeed him, believing Mbeki to be too inflexible and intolerant of criticism, but the ANC elected Mbeki regardless.[314] Mandela and the Executive supported Jacob Zuma, a Zulu who had been imprisoned on Robben Island, as Mbeki's replacement for Deputy President. Zuma's candidacy was challenged by Winnie, whose populist rhetoric had gained her a strong following within the party, although Zuma defeated her in a landslide victory vote at the election.[315]
Mandela's relationship with Machel had intensified; in February 1998, he publicly stated that he was ""in love with a remarkable lady"", and under pressure from Tutu, who urged him to set an example for young people, he organised a wedding for his 80th birthday, in July that year.[316] The following day, he held a grand party with many foreign dignitaries.[317] Although the 1996 constitution allowed the president to serve two consecutive five-year terms, Mandela had never planned to stand for a second term in office. He gave his farewell speech to Parliament on 29 March 1999 when it adjourned prior to the 1999 general elections, after which he retired.[318] Although opinion polls in South Africa showed wavering support for both the ANC and the government, Mandela himself remained highly popular, with 80% of South Africans polled in 1999 expressing satisfaction with his performance as president.[319]
",Withdrawing_from_politics,,,,
51,"Retiring in June 1999, Mandela aimed to lead a quiet family life, divided between Johannesburg and Qunu. Although he set about authoring a sequel to his first autobiography, to be titled The Presidential Years, it remained unfinished and was only published posthumously in 2017.[320] Mandela found such seclusion difficult and reverted to a busy public life involving a daily programme of tasks, meetings with world leaders and celebrities, and—when in Johannesburg—working with the Nelson Mandela Foundation, founded in 1999 to focus on rural development, school construction, and combating HIV/AIDS.[321] Although he had been heavily criticised for failing to do enough to fight the HIV/AIDS pandemic during his presidency, he devoted much of his time to the issue following his retirement, describing it as ""a war"" that had killed more than ""all previous wars""; affiliating himself with the Treatment Action Campaign, he urged Mbeki's government to ensure that HIV-positive South Africans had access to anti-retrovirals.[322] Meanwhile, Mandela was successfully treated for prostate cancer in July 2001.[323][324]
In 2002, Mandela inaugurated the Nelson Mandela Annual Lecture, and in 2003 the Mandela Rhodes Foundation was created at Rhodes House, University of Oxford, to provide postgraduate scholarships to African students. These projects were followed by the Nelson Mandela Centre of Memory and the 46664 campaign against HIV/AIDS.[325] He gave the closing address at the XIII International AIDS Conference in Durban in 2000,[326] and in 2004, spoke at the XV International AIDS Conference in Bangkok, Thailand, calling for greater measures to tackle tuberculosis as well as HIV/AIDS.[327] Mandela publicised AIDS as the cause of his son Makgatho's death in January 2005, to defy the stigma about discussing the disease.[328]
Publicly, Mandela became more vocal in criticising Western powers. He strongly opposed the 1999 NATO intervention in Kosovo and called it an attempt by the world's powerful nations to police the entire world.[329] In 2003, he spoke out against the plans for the United States to launch a war in Iraq, describing it as ""a tragedy"" and lambasting US president George W. Bush and British prime minister Tony Blair (whom he referred to as an ""American foreign minister"") for undermining the UN, saying, ""All that (Mr. Bush) wants is Iraqi oil"".[330] He attacked the United States more generally, asserting that ""If there is a country that has committed unspeakable atrocities in the world, it is the United States of America"", citing the atomic bombing of Japan; this attracted international controversy, although he later improved his relationship with Bush.[331][332] Retaining an interest in the Lockerbie suspect, he visited Megrahi in Barlinnie prison and spoke out against the conditions of his treatment, referring to them as ""psychological persecution"".[333]
",Continued_activism_and_philanthropy:_1999–2004,,,,
52,"In June 2004, aged 85 and amid failing health, Mandela announced that he was ""retiring from retirement"" and retreating from public life, remarking, ""Don't call me, I will call you.""[334] Although continuing to meet with close friends and family, the foundation discouraged invitations for him to appear at public events and denied most interview requests.[323]
He retained some involvement in international affairs. In 2005, he founded the Nelson Mandela Legacy Trust,[335] travelling to the United States to speak before the Brookings Institution and the NAACP on the need for economic assistance to Africa.[335][336] He spoke with US senator Hillary Clinton and President George W. Bush and first met the then-senator Barack Obama.[336] Mandela also encouraged Zimbabwean president Robert Mugabe to resign over growing human rights abuses in the country. When this proved ineffective, he spoke out publicly against Mugabe in 2007, asking him to step down ""with residual respect and a modicum of dignity.""[337] That year, Mandela, Machel and Desmond Tutu convened a group of world leaders in Johannesburg to contribute their wisdom and independent leadership to some of the world's toughest problems. Mandela announced the formation of this new group, The Elders, in a speech delivered on his 89th birthday.[338]
Mandela's 90th birthday was marked across the country on 18 July 2008, with the main celebrations held at Qunu,[339] and a concert in his honour in Hyde Park, London.[340] In a speech marking the event, Mandela called for the rich to help the poor across the world.[339] Throughout Mbeki's presidency, Mandela continued to support the ANC, usually overshadowing Mbeki at any public events that the two attended. Mandela was more at ease with Mbeki's successor, Zuma,[341] although the Nelson Mandela Foundation was upset when his grandson, Mandla Mandela, flew him out to the Eastern Cape to attend a pro-Zuma rally in the midst of a storm in 2009.[341]
In 2004, Mandela successfully campaigned for South Africa to host the 2010 FIFA World Cup, declaring that there would be ""few better gifts for us"" in the year marking a decade since the fall of apartheid.[342] Despite maintaining a low profile during the event due to ill health, Mandela made his final public appearance during the World Cup closing ceremony, where he received much applause.[343][344] Between 2005 and 2013, Mandela, and later his family, were embroiled in a series of legal disputes regarding money held in family trusts for the benefit of his descendants.[345] In mid-2013, as Mandela was hospitalised for a lung infection in Pretoria, his descendants were involved in an intra-family legal dispute relating to the burial place of Mandela's children, and ultimately Mandela himself.[346]
","""Retiring_from_retirement"":_2004–2013",,,,
53,"In February 2011, Mandela was briefly hospitalised with a respiratory infection, attracting international attention,[347][348] before being re-admitted for a lung infection and gallstone removal in December 2012.[349][350] After a successful medical procedure in early March 2013,[351] his lung infection recurred and he was briefly hospitalised in Pretoria.[352] In June 2013, his lung infection worsened and he was readmitted to a Pretoria hospital in serious condition.[353] The Archbishop of Cape Town Thabo Makgoba visited Mandela at the hospital and prayed with Machel,[354] while Zuma cancelled a trip to Mozambique to visit him the following day.[355] In September 2013, Mandela was discharged from hospital,[356] although his condition remained unstable.[357]
After suffering from a prolonged respiratory infection, Mandela died on 5 December 2013 at the age of 95, at around 20:50 local time at his home in Houghton, surrounded by his family.[358][359] Zuma publicly announced his death on television,[358][360] proclaiming ten days of national mourning, a memorial service held at Johannesburg's FNB Stadium on 10 December 2013, and 8 December as a national day of prayer and reflection. Mandela's body lay in state from 11 to 13 December at the Union Buildings in Pretoria and a state funeral was held on 15 December in Qunu.[361][362] Approximately 90 representatives of foreign states travelled to South Africa to attend memorial events.[363] It was later revealed that 300 million rand (about 20 million dollars) originally earmarked for humanitarian development projects had been redirected to finance the funeral.[364] The media was awash with tributes and reminiscences,[365] while images of tributes to Mandela proliferated across social media.[366] His US$4.1 million estate was left to his widow, other family members, staff, and educational institutions.[367]
",Illness_and_death:_2011–2013,,,,
54,"A friend once asked me how I could reconcile my creed of African nationalism with a belief in dialectical materialism. For me, there was no contradiction. I was first and foremost an African nationalist fighting for our emancipation from minority rule and the right to control our own destiny. But at the same time, South Africa and the African continent were part of the larger world. Our problems, while distinctive and special, were not unique, and a philosophy that placed those problems in an international and historical context of the greater world and the course of history was valuable. I was prepared to use whatever means necessary to speed up the erasure of human prejudice and the end of chauvinistic and violent nationalism.
— Nelson Mandela, 1994[368]
Mandela identified as both an African nationalist, an ideological position he held since joining the ANC,[369] and as a socialist.[370] He was a practical politician, rather than an intellectual scholar or political theorist.[371] According to biographer Tom Lodge, ""for Mandela, politics has always been primarily about enacting stories, about making narratives, primarily about morally exemplary conduct, and only secondarily about ideological vision, more about means rather than ends.""[372]
The historian Sabelo J. Ndlovu-Gatsheni described Mandela as a ""liberal African nationalist–decolonial humanist"",[373] while political analyst Raymond Suttner cautioned against labelling Mandela a liberal and stated that Mandela displayed a ""hybrid socio-political make-up"".[374] Mandela adopted some of his political ideas from other thinkers—among them Indian independence leaders like Gandhi and Nehru, African-American civil rights activists, and African nationalists like Nkrumah—and applied them to the South African situation. At the same time he rejected other aspects of their thought, such as the anti-white sentiment of many African nationalists.[375] In doing so he synthesised both counter-cultural and hegemonic views, for instance by drawing upon ideas from the then-dominant Afrikaner nationalism in promoting his anti-apartheid vision.[376]
His political development was strongly influenced by his legal training and practice, in particular his hope to achieve change not through violence but through ""legal revolution"".[377] Over the course of his life, he began by advocating a path of non-violence, later embracing violence, and then adopting a non-violent approach to negotiation and reconciliation.[378] When endorsing violence, he did so because he saw no alternative, and was always pragmatic about it, perceiving it as a means to get his opponent to the negotiating table.[379] He sought to target symbols of white supremacy and racist oppression rather than white people as individuals, and was anxious not to inaugurate a race war in South Africa.[380] This willingness to use violence distinguishes Mandela from the ideology of Gandhism, with which some commentators have sought to associate him.[381]
",Political_ideology,,,,
55,"Although he presented himself in an autocratic manner in several speeches, Mandela was a devout believer in democracy and abided by majority decisions even when deeply disagreeing with them.[382] He had exhibited a commitment to the values of democracy and human rights since at least the 1960s.[383] He held a conviction that ""inclusivity, accountability and freedom of speech"" were the fundamentals of democracy,[384] and was driven by a belief in natural and human rights.[385] Suttner argued that there were ""two modes of leadership"" that Mandela adopted. On one side he adhered to ideas about collective leadership, although on the other believed that there were scenarios in which a leader had to be decisive and act without consultation to achieve a particular objective.[386]
According to Lodge, Mandela's political thought reflected tensions between his support for liberal democracy and pre-colonial African forms of consensus decision making.[387] He was an admirer of British-style parliamentary democracy,[373] stating that ""I regard the British Parliament as the most democratic institution in the world, and the independence and impartiality of its judiciary never fail to arouse my admiration.""[373] In this he has been described as being committed to ""the Euro-North American modernist project of emancipation"", something which distinguishes him from other African nationalist and socialist leaders like Nyerere who were concerned about embracing styles of democratic governance that were Western, rather than African, in origin.[373] Mandela nevertheless also expressed admiration for what he deemed to be indigenous forms of democracy, describing Xhosa traditional society's mode of governance as ""democracy in its purest form"".[373] He also spoke of an influential African ethical tenet, Ubuntu, which is a Ngnuni term meaning ""A person is a person through other persons"" or ""I am because we are.""[388]
",Democracy,,,,
56,"Mandela advocated the ultimate establishment of a classless society,[389] with Sampson describing him as being ""openly opposed to capitalism, private land-ownership and the power of big money"".[390] Mandela was influenced by Marxism, and during the revolution he advocated scientific socialism. He said that ""I should tie myself to no particular system of society other than of socialism"".[391][392] He denied being a communist at the Treason Trial,[393] and maintained this stance both when later talking to journalists,[394] and in his autobiography, where he outlined that the cooperation with the SACP was pragmatic, asking rhetorically, ""who is to say that we were not using them?""[395] According to the sociologist Craig Soudien, ""sympathetic as Mandela was to socialism, a communist he was not.""[396] Conversely, the biographer David Jones Smith stated that Mandela ""embraced communism and communists"" in the late 1950s and early 1960s,[397] while the historian Stephen Ellis commented that Mandela had assimilated much of the Marxist–Leninist ideology by 1960.[398]
Mandela recalls in his autobiography 'Long Walk to Freedom' that ""I subscribed to Marx's basic dictum, which has the simplicity and generosity of the Golden Rule: ""From each according to his ability to each according to his need"". He further says that he was ""stimulated"" by The Communist Manifesto and attracted to dialectical materialism.[399]
Ellis also found evidence that Mandela had been an active member of the South African Communist Party (SACP) during the late 1950s and early 1960s,[121] something that was confirmed after his death by both the ANC and the SACP, the latter of which claimed that he was not only a member of the party, but also served on its Central Committee.[123] His membership had been hidden by the ANC, aware that knowledge of Mandela's former SACP involvement might have been detrimental to his attempts to attract support from Western countries.[400] Photo documentation exists of Nelson Mandela openly attending a SACP rally in 1990, on stage alongside his partner Winnie Madikizela-Mandela and SACP leader Joe Slovo.[401]
Mandela's view of these Western governments differed from those of Marxist–Leninists, for he did not believe that they were anti-democratic or reactionary and remained committed to democratic systems of governance.[402]
The 1955 Freedom Charter, which Mandela had helped create, called for the nationalisation of banks, gold mines and land, to ensure equal distribution of wealth.[403] Despite these beliefs, Mandela initiated a programme of privatisation during his presidency in line with trends in other countries of the time.[404] It has been repeatedly suggested that Mandela would have preferred to develop a social democratic economy in South Africa but that this was not feasible as a result of the international political and economic situation during the early 1990s.[404] This decision was in part influenced by the fall of the socialist states in the Soviet Union and Eastern Bloc during the early 1990s.[405]
",Socialism_and_Marxism,,,,
57,"Mandela was widely considered a charismatic leader,[406] described by biographer Mary Benson as ""a born mass leader who could not help magnetizing people"".[407] He was highly image conscious and throughout his life always sought out fine quality clothes, with many commentators believing that he carried himself in a regal manner.[408] His aristocratic heritage was repeatedly emphasised by supporters, thus contributing to his ""charismatic power"".[409] While living in Johannesburg in the 1950s, he cultivated the image of the ""African gentleman"", having ""the pressed clothes, correct manners, and modulated public speech"" associated with such a position.[410] In doing so, Lodge argued that Mandela became ""one of the first media politicians ... embodying a glamour and a style that projected visually a brave new African world of modernity and freedom"".[372] Mandela was known to change his clothes several times a day, and he became so associated with highly coloured Batik shirts after assuming the presidency that they came to be known as ""Madiba shirts"".[411][412]
For political scientists Betty Glad and Robert Blanton, Mandela was an ""exceptionally intelligent, shrewd, and loyal leader"".[413] His official biographer, Anthony Sampson, commented that he was a ""master of imagery and performance"", excelling at presenting himself well in press photographs and producing sound bites.[414] His public speeches were presented in a formal, stiff manner, and often consisted of clichéd set phrases.[415] He typically spoke slowly, and carefully chose his words.[416] Although he was not considered a great orator, his speeches conveyed ""his personal commitment, charm and humour"".[417]
Mandela was a private person who often concealed his emotions and confided in very few people.[418] Privately, he lived an austere life, refusing to drink alcohol or smoke, and even as president made his own bed.[419] Renowned for his mischievous sense of humour,[420] he was known for being both stubborn and loyal,[421] and at times exhibited a quick temper.[422] He was typically friendly and welcoming, and appeared relaxed in conversation with everyone, including his opponents.[423] A self-described Anglophile, he claimed to have lived by the ""trappings of British style and manners"".[424] Constantly polite and courteous, he was attentive to all, irrespective of their age or status, and often talked to children or servants.[425] He was known for his ability to find common ground with very different communities.[426] In later life, he always looked for the best in people, even defending political opponents to his allies, who sometimes thought him too trusting of others.[427] He was fond of Indian cuisine,[428] and had a lifelong interest in archaeology[429] and boxing.[430]
The significance of Mandela can be considered in two related ways. First, he has provided through his personal presence as a benign and honest conviction politician, skilled at exerting power but not obsessed with it to the point of view of excluding principles, a man who struggled to display respect to all ... Second, in so doing he was able to be a hero and a symbol to an array of otherwise unlikely mates through his ability, like all brilliant nationalist politicians, to speak to very different audiences effectively at once.
— Bill Freund, academic[431]
He was raised in the Methodist denomination of Christianity; the Methodist Church of Southern Africa claimed that he retained his allegiance to them throughout his life.[432] On analysing Mandela's writings, the theologian Dion Forster described him as a Christian humanist, although added that his thought relied to a greater extent on the Southern African concept of Ubuntu than on Christian theology.[433] According to Sampson, Mandela never had ""a strong religious faith"" however,[434] while Elleke Boehmer stated that Mandela's religious belief was ""never robust"".[435]
Mandela was very self-conscious about being a man and regularly made references to manhood.[436] He was heterosexual,[437] and biographer Fatima Meer said that he was ""easily tempted"" by women.[438] Another biographer, Martin Meredith, characterised him as being ""by nature a romantic"", highlighting that he had relationships with various women.[439] Mandela was married three times, fathered six children, and had seventeen grandchildren and at least seventeen great-grandchildren.[440] He could be stern and demanding of his children, although he was more affectionate with his grandchildren.[441] His first marriage was to Evelyn Ntoko Mase in October 1944;[442] they divorced in March 1958 under the multiple strains of his adultery and constant absences, devotion to revolutionary agitation, and the fact that she was a Jehovah's Witness, a religion requiring political neutrality.[443] Mandela's second wife was the social worker Winnie Madikizela-Mandela, whom he married in June 1958.[444] They divorced in March 1996.[445] Mandela married his third wife, Graça Machel, on his 80th birthday in July 1998.[446]
",Personality_and_personal_life,,,,
58,"By the time of his death, within South Africa Mandela was widely considered both ""the father of the nation""[447] and ""the founding father of democracy"".[448] Outside of South Africa, he was a ""global icon"",[449] with the scholar of South African studies Rita Barnard describing him as ""one of the most revered figures of our time"".[450] One biographer considered him ""a modern democratic hero"".[451] Some have portrayed Mandela in messianic terms,[452] in contrast to his own statement that ""I was not a messiah, but an ordinary man who had become a leader because of extraordinary circumstances.""[453] He is often cited alongside Mahatma Gandhi and Martin Luther King Jr. as one of the 20th century's exemplary anti-racist and anti-colonial leaders.[454] Boehmer described him as ""a totem of the totemic values of our age: toleration and liberal democracy""[455] and ""a universal symbol of social justice"".[456]
Mandela's international fame emerged during his incarceration in the 1980s, when he became the world's most famous political prisoner, a symbol of the anti-apartheid cause, and an icon for millions who embraced the ideal of human equality.[256][457][458][459] In 1986, Mandela's biographer characterised him as ""the embodiment of the struggle for liberation"" in South Africa.[460] Meredith stated that in becoming ""a potent symbol of resistance"" to apartheid during the 1980s, he had gained ""mythical status"" internationally.[461] Sampson commented that even during his life, this myth had become ""so powerful that it blurs the realities"", converting Mandela into ""a secular saint"".[462] Within a decade of the end of his presidency, Mandela's era was widely thought of as ""a golden age of hope and harmony"",[463] with much nostalgia being expressed for it.[464] His name was often invoked by those criticising his successors like Mbeki and Zuma.[465] Across the world, Mandela earned international acclaim for his activism in overcoming apartheid and fostering racial reconciliation,[419] coming to be viewed as ""a moral authority"" with a great ""concern for truth"".[466] Mandela's iconic status has been blamed for concealing the complexities of his life.[467]
Mandela generated controversy throughout his career as an activist and politician,[468] having detractors on both the right and the radical left.[469] During the 1980s, Mandela was widely labelled a terrorist by prominent political figures in the Western world for his embrace of political violence.[470] According to Thatcher, for instance, the ANC was ""a typical terrorist organisation"".[471] The US government's State and Defense departments officially designated the ANC as a terrorist organisation, resulting in Mandela remaining on their terrorism watch-list until 2008.[472] On the left, some voices in the ANC—among them Frank B. Wilderson III—accused him of selling out for agreeing to enter negotiations with the apartheid government and for not implementing the reforms of the Freedom Charter during his presidency.[473] According to Barnard, ""there is also a sense in which his chiefly bearing and mode of conduct, the very respect and authority he accrued in representing his nation in his own person, went against the spirit of democracy"",[468] and concerns were similarly expressed that he placed his own status and celebrity above the transformation of his country.[474] His government would be criticised for its failure to deal with both the HIV/AIDS pandemic and the high levels of poverty in South Africa.[468] Mandela was also criticised for his friendship with political leaders such as Fidel Castro and Muammar Gaddafi, who had supported the struggle against apartheid but were deemed dictators by critics.[475][unreliable source?]
",Reception_and_legacy,,,,
59,"Over the course of his life, Mandela was given over 250 awards, accolades, prizes, honorary degrees and citizenships in recognition of his political achievements.[476]
Among his awards were the Nobel Peace Prize,[230] the US Presidential Medal of Freedom,[477] the Soviet Union's Lenin Peace Prize,[476] and the Libyan Al-Gaddafi International Prize for Human Rights.[478] In 1990, India awarded him the Bharat Ratna,[479] and in 1992 Pakistan gave him their Nishan-e-Pakistan.[480] The same year, he was awarded the Atatürk Peace Award by Turkey; he at first refused the award, citing human rights violations committed by Turkey at the time,[481] but later accepted the award in 1999.[476] He was given the Fulbright Prize for International Understanding by the Fulbright Association in 1993. He was appointed to the Order of Isabella the Catholic[482] and the Order of Canada,[483] and was the first living person to be made an honorary Canadian citizen.[484] Queen Elizabeth II appointed him as a Bailiff Grand Cross of the Order of St. John and granted him membership in the Order of Merit.[485]
In 2004, Johannesburg granted Mandela the Freedom of the City,[486] and in 2008 a Mandela statue was unveiled at the spot where Mandela was released from prison.[487] On the Day of Reconciliation 2013, a bronze statue of Mandela was unveiled at Pretoria's Union Buildings.[488]
In November 2009, the United Nations General Assembly proclaimed Mandela's birthday, 18 July, as ""Mandela Day"", marking his contribution to the anti-apartheid struggle. It called on individuals to donate 67 minutes to doing something for others, commemorating the 67 years that Mandela had been a part of the movement.[489] In 2015 the UN General Assembly named the amended Standard Minimum Rules for the Treatment of Prisoners as ""the Mandela Rules"" to honour his legacy.[490]
Subsequently, the years 2019 to 2028 were also designated the United Nations Nelson Mandela Decade of Peace.[491]
[492]
","Orders,_decorations,_monuments,_and_honours",,,,
60,"The first biography of Mandela was authored by Mary Benson, based on brief interviews with him that she had conducted in the 1960s.[493] Two authorised biographies were later produced by friends of Mandela.[494] The first was Fatima Meer's Higher Than Hope, which was heavily influenced by Winnie and thus placed great emphasis on Mandela's family.[495] The second was Anthony Sampson's Mandela, published in 1999.[494] Other biographies included Martin Meredith's Mandela, first published in 1997, and Tom Lodge's Mandela, brought out in 2006.[494]
Since the late 1980s, Mandela's image began to appear on a proliferation of items, among them ""photographs, paintings, drawings, statues, public murals, buttons, t-shirts, refrigerator magnets, and more"",[366] items that have been characterised as ""Mandela kitsch"".[496] In the 1980s he was the subject of several songs, such as The Specials' ""Free Nelson Mandela"", Hugh Masekela's ""Bring Him Back Home (Nelson Mandela)"", and Johnny Clegg's ""Asimbonanga (Mandela)"", which helped to bring awareness of his imprisonment to an international audience.[497]
Mandela has also been depicted in films on multiple occasions.[498] Some of these, such as the 2013 feature film Mandela: Long Walk to Freedom, the 2017 miniseries Madiba and the 1996 documentary Mandela, have focused on covering his adult life in entirety or until his inaugural as president. Others, such as the 2009 feature film Invictus and the 2010 documentary The 16th Man, have focused on specific events in his life.[498] Lukhele has argued that in Invictus and other films, ""the America film industry"" has played a significant part in ""the crafting of Mandela's global image"".[499]
",Biographies_and_popular_media,,,,
61,"Abraham Lincoln was born on February 12, 1809, the second child of Thomas Lincoln and Nancy Hanks Lincoln, in a log cabin on Sinking Spring Farm near Hodgenville, Kentucky.[2] He was a descendant of Samuel Lincoln, an Englishman who migrated from Hingham, Norfolk, to its namesake, Hingham, Massachusetts, in 1638. The family then migrated west, passing through New Jersey, Pennsylvania, and Virginia.[3] Lincoln was also a descendant of the Harrison family of Virginia; his paternal grandfather and namesake, Captain Abraham Lincoln and wife Bathsheba (née Herring) moved the family from Virginia to Jefferson County, Kentucky.[b] The captain was killed in an Indian raid in 1786.[5] His children, including eight-year-old Thomas, Abraham's father, witnessed the attack.[6][c] Thomas then worked at odd jobs in Kentucky and Tennessee before the family settled in Hardin County, Kentucky, in the early 1800s.[6]
Lincoln's mother Nancy Lincoln is widely assumed to be the daughter of Lucy Hanks.[8] Thomas and Nancy married on June 12, 1806, in Washington County, and moved to Elizabethtown, Kentucky.[9] They had three children: Sarah, Abraham, and Thomas, who died as an infant.[10]
Thomas Lincoln bought or leased farms in Kentucky before losing all but 200 acres (81 ha) of his land in court disputes over property titles.[11] In 1816, the family moved to Indiana where the land surveys and titles were more reliable.[12] Indiana was a ""free"" (non-slaveholding) territory, and they settled in an ""unbroken forest""[13] in Hurricane Township, Perry County, Indiana.[14][d] In 1860, Lincoln noted that the family's move to Indiana was ""partly on account of slavery"", but mainly due to land title difficulties.[16]
In Kentucky and Indiana, Thomas worked as a farmer, cabinetmaker, and carpenter.[17] At various times, he owned farms, livestock, and town lots, paid taxes, sat on juries, appraised estates, and served on county patrols. Thomas and Nancy were members of a Separate Baptists church, which forbade alcohol, dancing, and slavery.[18]
Overcoming financial challenges, Thomas in 1827 obtained clear title to 80 acres (32 ha) in Indiana, an area which became the Little Pigeon Creek Community.[19]
",Early_life,,,,
62,"On October 5, 1818, Nancy Lincoln died from milk sickness, leaving 11-year-old Sarah in charge of a household including her father, 9-year-old Abraham, and Nancy's 19-year-old orphan cousin, Dennis Hanks.[20] Ten years later, on January 20, 1828, Sarah died while giving birth to a stillborn son, devastating Lincoln.[21]
On December 2, 1819, Thomas married Sarah Bush Johnston, a widow from Elizabethtown, Kentucky, with three children of her own.[22] Abraham became close to his stepmother and called her ""Mother"".[23] Lincoln disliked the hard labor associated with farm life. His family even said he was lazy, for all his ""reading, scribbling, writing, ciphering, writing Poetry, etc."".[24] His stepmother acknowledged he did not enjoy ""physical labor"", but loved to read.[25]
",Mother's_death,,,,
63,"Lincoln was largely self-educated.[26] His formal schooling was from itinerant teachers. It included two short stints in Kentucky, where he learned to read but probably not to write, at age seven,[27] and in Indiana, where he went to school sporadically due to farm chores, for a total of fewer than 12 months in aggregate by the age of 15.[28] He persisted as an avid reader and retained a lifelong interest in learning.[29] Family, neighbors, and schoolmates recalled that his reading included the King James Bible, Aesop's Fables, John Bunyan's The Pilgrim's Progress, Daniel Defoe's Robinson Crusoe, and The Autobiography of Benjamin Franklin.[30] Despite being self-educated, Lincoln was the recipient of honorary degrees later in life, including an honorary Doctor of Laws from Columbia University in June 1861.[31]
As a teen, Lincoln took responsibility for chores and customarily gave his father all earnings from work outside the home until he was 21.[32] Lincoln was tall, strong, and athletic, and became adept at using an ax.[33] He was an active wrestler during his youth and trained in the rough catch-as-catch-can style (also known as catch wrestling). He became county wrestling champion at the age of 21.[34] He gained a reputation for strength and audacity after winning a wrestling match with the renowned leader of ruffians known as ""the Clary's Grove Boys"".[35]
In March 1830, fearing another milk sickness outbreak, several members of the extended Lincoln family, including Abraham, moved west to Illinois, a free state, and settled in Macon County.[36][e] Abraham then became increasingly distant from Thomas, in part due to his father's lack of education.[38] In 1831, as Thomas and other family members prepared to move to a new homestead in Coles County, Illinois, Abraham struck out on his own.[39] He made his home in New Salem, Illinois, for six years.[40] Lincoln and some friends took goods, including live hogs, by flatboat to New Orleans, Louisiana, where he first witnessed slavery.[41]
",Education_and_move_to_Illinois,,,,
